型号,单核跑分,,型号,多核跑分,,型号,GPU性能
iPad Pro 13-inch (M4),3692,,iPad Pro 13-inch (M4),13724,,,54408
Apple M4,,,Apple M4,,,iPad Pro 11-inch (M4),
iPad Pro 13-inch (M4),3679,,iPad Pro 11-inch (M4),13438,,Apple M4,
Apple M4,,,Apple M4,,,iPad Pro 13-inch (M4),54199
iPad Pro 11-inch (M4),3667,,iPad Pro 13-inch (M4),13393,,Apple M4,
Apple M4,,,Apple M4,,,iPad Pro 13-inch (M4),54110
iPad Pro 11-inch (M4),3650,,iPad Pro 11-inch (M4),13073,,Apple M4,
Apple M4,,,Apple M4,,,iPad Pro 11-inch (M4),54066
iPhone 16 Pro,3452,,iPad Air 13-inch (M2),9828,,Apple M4,
Apple A18 Pro,,,Apple M2,,,"iPad Pro (12.9-inch, 6th generation)",46044
iPhone 16 Pro Max,3437,,iPad Air 11-inch (M2),9795,,Apple M2,
Apple A18 Pro,,,Apple M2,,,"iPad Pro (11-inch, 4th generation)",45736
iPhone 16,3324,,"iPad Pro (11-inch, 4th generation)",9770,,Apple M2,
Apple A18,,,Apple M2,,,iPad Air 11-inch (M2),42035
iPhone 16 Plus,3321,,"iPad Pro (12.9-inch, 6th generation)",9761,,Apple M2,
Apple A18,,,Apple M2,,,iPad Air 13-inch (M2),41995
iPhone 15 Pro,2893,,iPhone 16 Pro,8570,,Apple M2,
Apple A17 Pro,,,Apple A18 Pro,,,iPhone 16 Pro,32746
iPhone 15 Pro Max,2883,,iPhone 16 Pro Max,8504,,Apple A18 Pro,
Apple A17 Pro,,,Apple A18 Pro,,,iPhone 16 Pro Max,32730
iPhone 14 Pro,2604,,iPad Pro (12.9-inch 5th generation),8366,,Apple A18 Pro,
Apple A16 Bionic,,,Apple M1,,,iPad Pro (12.9-inch 5th generation),32682
iPhone 14 Pro Max,2598,,iPad Pro (11-inch 3rd generation),8321,,Apple M1,
Apple A16 Bionic,,,Apple M1,,,iPad Pro (11-inch 3rd generation),32630
iPad Air 13-inch (M2),2591,,iPad Air (5th generation),8252,,Apple M1,
Apple M2,,,Apple M1,,,iPad Air (5th generation),32264
iPad Air 11-inch (M2),2586,,iPhone 16,8189,,Apple M1,
Apple M2,,,Apple A18,,,iPhone 16 Plus,27717
